tile_id,x0,y0,x1,y1,lr_shape,sr_shape,gt_shape
tile_0238,-5715426.77,-3497507.12,-5714686.53,-3496766.88,64x64,310x310,1829x1829
tile_0239,-5714686.53,-3497507.12,-5713946.3,-3496766.88,64x64,310x310,1829x1829
tile_0240,-5713946.3,-3497507.12,-5713206.07,-3496766.88,64x64,310x310,1829x1829
tile_0241,-5713206.07,-3497507.12,-5712465.83,-3496766.88,64x64,310x310,1829x1829
tile_0242,-5712465.83,-3497507.12,-5711725.6,-3496766.88,64x64,310x310,1829x1829
tile_0243,-5711725.6,-3497507.12,-5710985.37,-3496766.88,64x64,310x310,1829x1829
tile_0244,-5710985.37,-3497507.12,-5710245.13,-3496766.88,64x64,310x310,1829x1829
tile_0245,-5710245.13,-3497507.12,-5709504.9,-3496766.88,64x64,310x310,1829x1829
tile_0246,-5709504.9,-3497507.12,-5708764.66,-3496766.88,64x64,310x310,1829x1829
tile_0247,-5708764.66,-3497507.12,-5708024.43,-3496766.88,64x64,310x310,1829x1829
tile_0248,-5708024.43,-3497507.12,-5707284.2,-3496766.88,64x64,310x310,1829x1829
tile_0249,-5707284.2,-3497507.12,-5706543.96,-3496766.88,64x64,310x310,1829x1829
tile_0250,-5706543.96,-3497507.12,-5705803.73,-3496766.88,64x64,310x310,1829x1829
tile_0251,-5705803.73,-3497507.12,-5705063.5,-3496766.88,64x64,310x310,1829x1829
tile_0252,-5705063.5,-3497507.12,-5704323.26,-3496766.88,64x64,310x310,1829x1829
tile_0253,-5721348.64,-3496766.88,-5720608.4,-3496026.65,64x64,310x310,1829x1829
tile_0254,-5720608.4,-3496766.88,-5719868.17,-3496026.65,64x64,310x310,1829x1829
tile_0255,-5719868.17,-3496766.88,-5719127.94,-3496026.65,64x64,310x310,1829x1829
tile_0256,-5719127.94,-3496766.88,-5718387.7,-3496026.65,64x64,310x310,1829x1829
tile_0257,-5718387.7,-3496766.88,-5717647.47,-3496026.65,64x64,310x310,1829x1829
tile_0258,-5717647.47,-3496766.88,-5716907.24,-3496026.65,64x64,310x310,1829x1829
tile_0259,-5716907.24,-3496766.88,-5716167.0,-3496026.65,64x64,310x310,1829x1829
tile_0260,-5716167.0,-3496766.88,-5715426.77,-3496026.65,64x64,310x310,1829x1829
tile_0261,-5715426.77,-3496766.88,-5714686.53,-3496026.65,64x64,310x310,1829x1829
tile_0262,-5714686.53,-3496766.88,-5713946.3,-3496026.65,64x64,310x310,1829x1829
tile_0263,-5713946.3,-3496766.88,-5713206.07,-3496026.65,64x64,310x310,1829x1829
tile_0264,-5713206.07,-3496766.88,-5712465.83,-3496026.65,64x64,310x310,1829x1829
tile_0265,-5712465.83,-3496766.88,-5711725.6,-3496026.65,64x64,310x310,1829x1829
tile_0266,-5711725.6,-3496766.88,-5710985.37,-3496026.65,64x64,310x310,1829x1829
tile_0267,-5710985.37,-3496766.88,-5710245.13,-3496026.65,64x64,310x310,1829x1829
tile_0268,-5710245.13,-3496766.88,-5709504.9,-3496026.65,64x64,310x310,1829x1829
tile_0269,-5709504.9,-3496766.88,-5708764.66,-3496026.65,64x64,310x310,1829x1829
tile_0270,-5708764.66,-3496766.88,-5708024.43,-3496026.65,64x64,310x310,1829x1829
tile_0271,-5708024.43,-3496766.88,-5707284.2,-3496026.65,64x64,310x310,1829x1829
tile_0272,-5707284.2,-3496766.88,-5706543.96,-3496026.65,64x64,310x310,1829x1829
tile_0273,-5706543.96,-3496766.88,-5705803.73,-3496026.65,64x64,310x310,1829x1829
tile_0274,-5705803.73,-3496766.88,-5705063.5,-3496026.65,64x64,310x310,1829x1829
tile_0275,-5705063.5,-3496766.88,-5704323.26,-3496026.65,64x64,310x310,1829x1829
tile_0276,-5721348.64,-3496026.65,-5720608.4,-3495286.41,64x64,310x310,1829x1829
tile_0277,-5720608.4,-3496026.65,-5719868.17,-3495286.41,64x64,310x310,1829x1829
tile_0278,-5719868.17,-3496026.65,-5719127.94,-3495286.41,64x64,310x310,1829x1829
tile_0279,-5719127.94,-3496026.65,-5718387.7,-3495286.41,64x64,310x310,1829x1829
tile_0280,-5718387.7,-3496026.65,-5717647.47,-3495286.41,64x64,310x310,1829x1829
tile_0281,-5717647.47,-3496026.65,-5716907.24,-3495286.41,64x64,310x310,1829x1829
tile_0282,-5716907.24,-3496026.65,-5716167.0,-3495286.41,64x64,310x310,1829x1829
tile_0283,-5716167.0,-3496026.65,-5715426.77,-3495286.41,64x64,310x310,1829x1829
tile_0284,-5715426.77,-3496026.65,-5714686.53,-3495286.41,64x64,310x310,1829x1829
tile_0285,-5714686.53,-3496026.65,-5713946.3,-3495286.41,64x64,310x310,1829x1829
tile_0286,-5713946.3,-3496026.65,-5713206.07,-3495286.41,64x64,310x310,1829x1829
tile_0287,-5713206.07,-3496026.65,-5712465.83,-3495286.41,64x64,310x310,1829x1829
